text,relation
"Although it possesses an RA domain , similar to the RASSF1 situation          it is a somewhat controversial issue as to whether RASSF6 directly or indirectly binds Ras proteins ; one study reported that RASSF6 interacts directly with K-Ras in a GTP dependent manner with an affinity comparable to that of other known Ras effectors       yet another study reported it does not bind K-Ras , H-Ras , N-Ras , M-Ras , or TC21 under the conditions that NORE1 binds these Ras proteins      .",0
"Although it possesses an RA domain , similar to the RASSF1 situation          it is a somewhat controversial issue as to whether RASSF6 directly or indirectly binds Ras proteins ; one study reported that RASSF6 interacts directly with K-Ras in a GTP dependent manner with an affinity comparable to that of other known Ras effectors       yet another study reported it does not bind K-Ras , H-Ras , N-Ras , M-Ras , or TC21 under the conditions that NORE1 binds these Ras proteins      .",0
"RASSF1A induces apoptosis through its interaction with Ras , the Ras effector NORE1 , the connector enhancer of KSR ( CNK1 ) , the pro-apoptotic kinase MST1 , and the modulator of apoptosis-1 ( MAP-1 ; activated K-Ras , RASSF1A , and MAP-1 synergize to induce Bax activation and cell death ) .",2
"Since CNK1 can bind RASSF1A or RASSF1C ( but not NORE1 )       and RASSF1A can interact with MST1 and 2     , it was proposed that RASSF1A may provide the mechanism linking the two proteins .",0
"Stimulation of the death receptors with TNFalpha ( tumour necrosis factor alpha ) or TNFalpha related apoptosis inducing ligand ( TRAIL ) resulted in recruitment of RASSF1A and modulator of apoptosis-1 ( MAP-1 ) proteins to the receptor complexes and promoted complex formation between RASSF1A and MAP-1 ; MAP-1 is normally inhibited by an intramolecular interaction , however , the binding of RASSF1A to MAP-1 relieved this inhibitory interaction , resulting in MAP-1 association with Bax      .",0
"We next studied the effect of these growth factors on the tyrosine phosphorylation of Gab1 and its binding to SHP-2 .  EGF , but not IGF or PDGF , led to both increased tyrosine phosphorylation of Gab1 and binding to SHP-2 (       b ) , suggesting a selective effect of EGF on Ras and MAPK activation mediated by Gab1 and SHP-2 .",2
"Gab1 and SHP-2 overexpression prolonged the persistence of increased MAPK phosphorylation after strong EGF stimulation of cells grown initially in minimal medium without growth factors for 20 h ; mutant Gab1 and SHP-2 proteins did not .  Interestingly , dominant negative Gab1 and SHP-2 fail to block MAPK activation in response to high strength EGF stimulation , suggesting that their capacity for inhibition is confined to lower levels of growth factor action .",0
"Gab1 and SHP-2 overexpression prolonged the persistence of increased MAPK phosphorylation after strong EGF stimulation of cells grown initially in minimal medium without growth factors for 20 h ; mutant Gab1 and SHP-2 proteins did not .  Interestingly , dominant negative Gab1 and SHP-2 fail to block MAPK activation in response to high strength EGF stimulation , suggesting that their capacity for inhibition is confined to lower levels of growth factor action .",0
"However , for directional movement , the turnover of stress fibers and focal adhesions to produce an elongate morphology was dependent on the constitutive association between Ras-GAP and p190 , independent of Ras regulation .  Disruption of the phosphotyrosine mediated Ras-GAP and p190 complex by microinjecting synthetic peptides derived from p190 sequences in wild-type cells caused a suppression of actin filament reorientation and migration .",0
"However , for directional movement , the turnover of stress fibers and focal adhesions to produce an elongate morphology was dependent on the constitutive association between Ras-GAP and p190 , independent of Ras regulation .  Disruption of the phosphotyrosine mediated Ras-GAP and p190 complex by microinjecting synthetic peptides derived from p190 sequences in wild-type cells caused a suppression of actin filament reorientation and migration .",2
This Ras-GAP and p190 complex may function together to regulate actin cytoskeletal dynamics .  Over-expression of the NH 2  terminus of Ras-GAP in RAT-2 cells induced abnormal actin SFs and decreased cell substratum adhesion and this correlated with increased in vitro Rho GAP activity compared with untransfected cells .,1
"Conversely , we have demonstrated that disruption of the Ras-GAP and p190 interaction by phospho specific peptides leads to a failure of SF and FA remodeling .  Thus , this loss of turnover observed in Ras GAP mutant cells is dependent upon Ras-GAP and p190 complex formation .",0
"Taken together , these results indicate the formation of the Ras-GAP and p190 complex is required for the correct temporal Rho function of actin SFs and FAs and that this interaction is pTyr mediated .  report major pTyr dependent and minor pTyr independent interactions between Ras-GAP and p190 .",0
"report major pTyr dependent and minor pTyr independent interactions between Ras-GAP and p190 .  It is attractive to visualize a mechanism whereby an active pTyr dependent Ras-GAP and p190 complex regulates SF and FA turnover , and an inactive pTyr independent interaction is functionally silent .",0
"First , using Ha-ras-transformed Rat1 fibroblasts , we show that inhibition of Ras farnesylation by the farnesyltransferase inhibitor HR12 results in a dose dependent decrease in Erk activation , which parallels the dose dependent inhibition of Ras farnesylation  and the morphological changes ( data not shown ) .  Second , the kinetics of soluble Ras accumulation induced by HR12 treatment and the kinetics of Mek and Erk inactivation are identical  and precede the observed morphological changes .",0
"In addition , PKC can activate Raf independently of Ras .  Indeed , it is shown that PKCalpha phosphorylates Raf at Ser499 ( Kolch et al. ) .",0
"The first observation was made in CHO cells where stimulation of the LPA receptor triggers MEK and ERK signalling via a PI 3-Kgamma-dependent activation of PKCzeta not abrogated by transfection with dominant negative Ras ( Takeda et al. ) .  In addition , a recent report indicated that angiotensin II induced ERK activation in rat vascular smooth muscle cells requires interaction between Ras and PKCzeta ( Zhao et al. ) .",0
"The first observation was made in CHO cells where stimulation of the LPA receptor triggers MEK and ERK signalling via a PI 3-Kgamma-dependent activation of PKCzeta not abrogated by transfection with dominant negative Ras ( Takeda et al. ) .  In addition , a recent report indicated that angiotensin II induced ERK activation in rat vascular smooth muscle cells requires interaction between Ras and PKCzeta ( Zhao et al. ) .",0
"Increase in cAMP upon stimulation of the latter receptor transiently inhibits PKB phosphorylation .  Stimulation of the P2Y 12  receptor , which negatively affects AC , does not only counteract this inhibition but even enhances PKB activity in comparison to unstimulated cells , suggesting that P2Y 12  receptor mediated PI 3-K and PKB activation is not only due to its inhibitory effect on AC ( Van Kolen and Slegers ; Czajkowski et al. ; Baranska et al. ) .",0
"In vitro kinase assay showed that FOXO1 was phosphorylated by ERK and p38 but not by JNK .  In NIH3T3 cells , epidermal growth factor or anisomycin increased phosphorylation of exogenous FOXO1 , which was significantly inhibited by pretreatment with an MEK 1 inhibitor , PD98059 , or a p38 inhibitor , SB203580 .",0
"Albeit Ang-2 also binds to Tie2 , it does not activate this receptor under physiological conditions and is consequently associated with blood vessel destabilization and remodelling .  Ang-1 inhibits FOXO1 and thereby the expression of its antagonist Ang-2 .",0
"This confirms that MEK-1 is a physiologically relevant target of Raf-1 , but also points to a more complicated scenario where signals diversify from MEK isoforms .  Indeed , in Hela cells , A-Raf selectively activated MEK-1 in response to EGF , whereas Raf-1 activated both MEK-1 and MEK-2 .",0
"The scaffolding protein KSR constitutively binds to MEK .  In response to mitogenic stimulation , the KSR and MEK complex is recruited from the cytosol to the cell membrane , where it can now interact with activated Raf-1 and ERK to facilitate the signal flux through the kinase module Raf -- > MEK -- > ERK .",0
"The scaffolding protein KSR constitutively binds to MEK .  In response to mitogenic stimulation , the KSR and MEK complex is recruited from the cytosol to the cell membrane , where it can now interact with activated Raf-1 and ERK to facilitate the signal flux through the kinase module Raf -- > MEK -- > ERK .",1
"Next , we tested whether Mdm2 also can ubiquitinate FOXO4 in vivo .  Co-expression of flag-FOXO4 and myc-Mdm2 induced mono-ubiquitination of FOXO4 .",0
"As reported previously , increasing cellular oxidative stress by treating cells with hydrogen peroxide induced mono-ubiquitination of both FOXO4 and FOXO3a     and Supplementary        .  Importantly , siRNA mediated knockdown of Mdm2 significantly reduced hydrogen peroxide induced mono-ubiquitination of FOXO4 .",0
"As reported previously , increasing cellular oxidative stress by treating cells with hydrogen peroxide induced mono-ubiquitination of both FOXO4 and FOXO3a     and Supplementary        .  Importantly , siRNA mediated knockdown of Mdm2 significantly reduced hydrogen peroxide induced mono-ubiquitination of FOXO4 .",0
"Importantly , siRNA mediated knockdown of Mdm2 significantly reduced hydrogen peroxide induced mono-ubiquitination of FOXO4 .  Together , these data provide compelling evidence that Mdm2 can mediate FOXO4 mono-ubiquitination in vitro and in vivo .",0
"Importantly , siRNA mediated knockdown of Mdm2 significantly reduced hydrogen peroxide induced mono-ubiquitination of FOXO4 .  Together , these data provide compelling evidence that Mdm2 can mediate FOXO4 mono-ubiquitination in vitro and in vivo .",0
"To test the possibility that Mdm2 could directly regulate FOXO we analyzed binding between Mdm2 and FOXO4 .  Upon co-expression of Flag-Mdm2 and HA-FOXO4 , FOXO4 was co-immunoprecipitated with Mdm2 , and vice-versa .",0
"Upon co-expression of Flag-Mdm2 and HA-FOXO4 , FOXO4 was co-immunoprecipitated with Mdm2 , and vice-versa .  Consistent with our in vitro data , this result suggests that Mdm2 directly binds and regulates FOXO4 , rather than through regulating the activity of de-ubiquitinating enzymes such as USP7 .",0
"Furthermore , in vivo co-expression of Mdm2 and FOXO induces FOXO mono-ubiquitination and consistent with this result , siRNA mediated depletion of Mdm2 inhibits mono-ubiquitination of FOXO induced by hydrogen peroxide .  Regulation of FOXO ubiquitination by Mdm2 is likely to be direct since Mdm2 and FOXO co-immunoprecipitate .",0
"Furthermore , in vivo co-expression of Mdm2 and FOXO induces FOXO mono-ubiquitination and consistent with this result , siRNA mediated depletion of Mdm2 inhibits mono-ubiquitination of FOXO induced by hydrogen peroxide .  Regulation of FOXO ubiquitination by Mdm2 is likely to be direct since Mdm2 and FOXO co-immunoprecipitate .",0
"Tax1 also associates with p15 INK4b  and p16 INK4a  and counteracts their inhibitory activity of CDK4 [   -   ] .  Finally , Tax1 binds to and targets Rb for proteosomal degradation .",0
"Although the exact residue of p73 phosphorylated by IKKalpha has not yet been identified , a study showed that nuclear IKKalpha phosphorylates p73 within its N-terminal region , which may protect p73 from ubiquitination and proteasomal degradation .",0
Lin et al. showed that GSK3beta interacts with DNMT1 to phosphorylate DNMT1 at Ser410 and Ser414 and promotes binding of DNMT1 by betaTrCP leading to proteasomal degradation of DNMT1 .,1
"EGF , AR and TGFalpha bind EGFR , HRG , BTC and HB-EGF bind EGFR and erbB-4 , NRG1 and NRG2 bind erbB-3 and erbB-4 , and NRG3 and NRG4 bind only erbB-4  .",0
"Silencing of HIPK2 significantly reduced K382-p53 acetylation , impaired recruitment of p53 and p300 to apoptotic gene promoters , and decreased p53 apoptotic transcription .",1
"We and another group reported that GSK3 interacts with and phosphorylates Mcl-1 at S155 , S159 , and T163 ( Maurer et al. ,     ; Ding et al. ,     ) .",2
"In C. elegans , the cdc-25 phosphatase has four members ( CDC-25 .1 -4 ) , and dephosphorylates cyclin and CDK complexes that have been phosphorylated ( and inactivated ) by the Wee1 and Myt kinase homolog , WEE-1 .3    .",1
"Z36 can competitively inhibit the interaction between Bcl-xL and Beclin 1 in vitro , and thus it is likely that Z36 induces autophagy by blocking the interaction between Bcl-xL and Bcl -2 and Beclin 1 .",0
"Recently , we identified a molecular mechanism by which ATM kinase triggers FLIP degradation : ATM enhances ITCH E3-ubiquitin ligase activity , which in turn promotes FLIP ubiquitination and degradation .",0
"These epistasis results fit well with the observed protein interactions of the mammalian scaffolds : Mammalian KSR binds constitutively to MEK and variably to Raf and ERK , while CNK binds Raf , and SOC-2 binds to Ras and Raf .",0
"Furthermore , they demonstrated that PML was a direct transcriptional target of p73 and YAP , showing that PML transcriptional activation by p73 and YAP is under the negative control of the proto-oncogenic Akt and PKB kinase           .",0
"GTP loaded RAS then triggers the sequential activation of RAF , MEK , and MAPK ; active RAF phosphorylates and activates MEK , which in turn phosphorylates and activates MAPK    .",1
"When GSK-3 is bound to GBP , GSK-3 can not bind Axin and thus GSK-3 does not phosphorylate beta-catenin .",1
AMPK directly phosphorylates Raptor in an LKB1 dependent manner leading to the binding of 14-3-3 proteins to Raptor and subsequent inhibition of mTORC1 .,1
"GTP bound RRAS binds to RAF1     , recruiting it to the plasma membrane and likely stimulating its activation through phosphorylation at S338 mediated by PAK proteins     .",1
"The activated RI phosphorylates intracellular Smad2 and Smad3 , which then interact with Smad4 protein to form an oligomeric complex .",1
( E ) Dose dependent induction of alphaSMA expression by TGF-beta1 and its suppression by DAraf siRNAs .,0
RALBP1 also induces mitochondrial fission by promoting the phosphorylation of the GTPase DRP1 by CyclinB and CDK1 and facilitating the recruitment of DRP1 to mitochondrial membranes    .,0
"Z36 can competitively inhibit the interaction between Bcl-xL and Beclin 1 in vitro , and thus it is likely that Z36 induces autophagy by blocking the interaction between Bcl-xL and Bcl -2 and Beclin 1 .",0
"TSC2 phosphorylation by Akt represses GAP activity of the TSC1 and TSC2 complex , allowing Rheb to accumulate in a guanosine-5 ' - triphosphate ( GTP ) - bound state .",0
"In contrast , ITSN1 interaction with Ras17N was dramatically reduced by the 69N mutation consistent with the finding that ITSN1 interacts with Ras through binding Ras GEFs      .",0
"ASPP2 binds active RAS at the plasma membrane , thereby increasing RAS signaling to its downstream pathway effectors Raf and MAPK .",1
The cellularly abundant GTP displaces the wt Ras bound Cdc25 to produce the GTP bound wt Ras .,1
beta-catenin is phosphorylated by GSK3beta and is subsequently degraded by the proteasome .,1
"These results suggest that , although Ras Cys 51  has no role in either the wt Ras GDP binding interaction or in the O 2  *- - and Cdc25 mediated wt Ras GDP dissociation , the Ras residue Cys 51  is involved in the O 2  *- -mediated inhibition of the catalytic action of Cdc25 on Ras .",0
"In absence of Hedgehog ( Hh ) , PTCH1 binds to SMO , whereas in presence of Hh , the complex Hh and PTCH1 internalizes and releases SMO .",0
"Although it is not immediately obvious , the simulations predict that following co-stimulation with insulin and EGF , the amount of GAB1 bound PI3K will increase ( compared with EGF stimulation ) only on a short time scale (         , blue dashed lines versus green dotted lines ) , whereas the post-peak concentration of GAB1 bound PI3K will decrease owing to dephosphorylation of GAB1 phosphotyrosines by GAB1 bound SHP2 and the competitive recruitment of PI3K by phosphorylated IRS .",0
"First , hypoxia leads to a decline in ATP levels and accumulation of AMP .  This inhibits mTORC1 signalling via AMPK induced activation of TSC2 and phosphorylation of Raptor as discussed above .",0
"mTOR phosphorylates and activates the translational machinery proteins : eukaryotic translation initiation factor 4E- ( eIF-4E - ) binding protein ( 4E-BP1 ) and p70 S6 kinase .  Upon phosphorylation , 4E-BP1 no longer interacts with and represses eIF-4E , and p70 S6  phosphorylates and activates the 40 S ribosomal protein .",2
"First , IR binds and phosphorylates Shc with very low efficacy compared with EGFR , whereas in EGF signaling , the Shc dependent pathways contribute substantially to the Grb2-SOS membrane recruitment and subsequent Ras activation .",0
"Consistent with these observations , subsequent studies demonstrated that , in rat neuronal cells or mouse fibroblasts , Galphai and Gbeta subunits were associated with IGF-1R while Galphas was not associated with the IGF-1R in any cell type .",0
"The methyltransferase Set7 and 9 interacts with and methylates SIRT1 at Lys233 , Lys235 , Lys236 , and Lys238 of the N-terminal extension .",1
"By contrast , IGF2 did not increase Akt phosphorylation over controls in Huh7 cells but pre-treatment with salirasib induced Akt phosphorylation compared to controls as well as untreated IGF2 stimulated cells ( additional file   - figure S2 ) .",0
"Sustained Erk phosphorylation by nerve growth factor ( NGF ) induces differentiation , while transient Erk phosphorylation by epidermal growth factor ( EGF ) stimulates cell proliferation in PC12 cells    .",0
"This inhibition can result from physical interactions between ERalpha and Nrf2 ,    from competitive binding of ERalpha and the histone deacetylase SIRT1 to the promoter of Nrf2 inducible genes like NQO1 ,   or from interference with p300 recruitment leading to histone acetylation of Nrf2 target genes .",0
"For example , EZH2 interacts with and methylates STAT3 , resulting in increased tyrosine phosphorylation and activation of STAT3 .",1
"B-cell antigen receptor stimulation elicits c-Myc expression via ERK1 and 2 phosphorylation in B-cell chronic lymphocytic leukemia , in which ERK dependent induction of c-Myc regulates leukemic cell proliferation .",0
"In addition , PI3K interacts with Ras and is directly activated by Ras binding to p110 [  -  ] .",1
"The p53 pathway is generally activated by DNA damage , which results in phosphorylation of p53 by ATM or CHK2 at sites near MDM2 and MDM4 binding .",1
"Indeed , the inhibition of PI3K induces S159 phosphorylation of Mcl-1 and subsequent ubiquitination and degradation of Mcl-1 , which are blocked by GSK3 inhibition ( Maurer et al. ,     ) .",1
"p19-Ras can not interact with A-Raf or Rin1 , but binds RACK1 and may act in an antagonistic manner to p21-Ras .",0
"Knockdown of H-Ras blocked VEGF induced PI3K dependent Akt ( Ser-473 ) and eNOS ( Ser-1177 ) phosphorylation and nitric oxide dependent cell migration , demonstrating the essential role of H-Ras .",0
"During G1 , hyper-phosphorylation of Rb by CDK and cyclin complexes disrupts this interaction , thereby de-repressing E2F and allowing for the transcription of genes required for cell cycle progression .",0
"Further insight for the involved mechanism was provided by the finding that p53 Lys382 acetylation requires previous phosphorylation of p53 at Ser46 by the kinase homeodomain interacting protein kinase 2 ( HIPK2 ) 2 ( Hofmann et al. ,     ) .",2
We therefore hypothesize that RbAp46 forms a complex with HDAC1 and then binds with Sp1 to regulate RECK expression via the Sp1 site of the promoter .,1
"Upon stimulation , IkappaB is phosphorylated by the IkappaB kinase ( IKK ) complex and is then degraded by the ubiquitin-proteasome system .",1
"Using antibody array based screens and immunoprecipitation assays , we found that Gal-3 can bind to Ras in pancreatic cancer cells and retain Ras in the plasma membrane where it activates its downstream signaling .",0
"Finally , we found that although Sprouty2 Y55F mutant did not block cyP induced ERK and Elk-1 activation , the treatment with PGA 1  was unable to provoke in vivo tyrosine phosphorylation of Sprouty2 , and c-Cbl and Sprouty2 binding ; however , RTK stimulation ( mainly EGFR ) induces tyrosine phosphorylation of Spry2 ( at Y55 residue ) enhancing its binding affinity to the SH2 domain of c-Cbl , which leads to Spry2 ubiquitination    .",1
"Upon PI3K activation , Akt phosphorylation of TSC2 destabilizes TSC2 and disrupts its interaction with TSC1 , thus abolishing the negative regulatory effect of TSC2 and TSC1 complex on mTORC1  ,   .",1
"To address this question for MCP110 , we took advantage of the fact that activated , GTP bound Ras binds to Raf via interaction of its own effector domain ( core residues 32-40 as well as flanking sequences ) with the Ras binding domain ( RBD ) and cysteine rich domain ( CRD ) of Raf .",1
"c-Myc interacts with EZH2 and suppresses miR-101 expression in HCC , whereas MYCN interacts with EZH2 and inhibits tumor suppressor clusterin in neuroblastoma .",0
",    Importantly , the ability of ASPP1 and ASPP2 to stimulate p53 dependent apoptosis in cancer cells also requires their first 120 amino acids , as mutants lacking them are unable to coactivate with p53 , even though they interact with p53 .",0
"The intact Keap1 homodimer ubiquitinates Nrf2 , while the Keap1 dimer , containing one or two mutant Keap1 proteins , can not ubiquitinate Nrf2 .",0
"Monomeric Amyloid-beta triggers the JNK1 mediated phosphorylation of Bcl-2 and therefore frees Beclin1 in order to induce autophagy , while Amyloid-beta oligomers block this phosphorylation , which strengthens the Bcl2-Beclin 1 interaction and results in autophagy-suppression and apoptosis .",0
"For instance , PLCgamma binds PDGFRalpha with higher affinity than PDGFRbeta ; Crk adaptor protein binds PDGFRalpha but not PDGFRbeta ; conversely , GAP binds PDGFRbeta , but nor PDGFRalpha .",0
"The cyclin dependent kinase ( CDK ) inhibitor p16 ( p16 INK4A / CDKN2 and MTS1 ) was the first of four INK4 genes discovered , and is a crucial component for stringent regulation of the cell cycle .  It functions to inhibit cyclin-D dependent phosphorylation of pRB , and its related family members p130 and p107 , by replacing cyclin D in cdk4 and 6-cyclin D complexes .",0
"CK2 mediated PML phosphorylation also enhances PML ubiquitination and degradation , thus also allowing control of its abundance .",1
Binding of growth factor to RTK leads to its phosphorylation triggering recruitment of Sos to the plasma membrane .,1
"Mechanistic details on how viral proteins interfere with NF-kappaB signaling have been included and are discussed in the text , except for the following : HTLV-1 Tax and KSHV vFLIP interact with IKKgamma  and stimulate p100 expression and processing independently of NIK , whereas Tax may also directly interact with IKKalpha and p100 .",0
"Active Rac binds PAK , which is not only a Rac effector but also interacts with PIX , which in turn stimulates Rac .",0
"Whereas PRAS40 inhibits the mTORC1 activity via raptor , DEPTOR was identified to interact directly with mTOR in both mTORC1 and mTORC2 complexes .",0
"Under normal condition , HIF-1alpha subunit hydroxylated by PDH2 can bind to VHL protein , which promotes the polyubiquitination of HIF-1alpha and its degradation .",1
"GTP bound Ras interacts with and translocates the serine and threonine protein kinase Raf to the plasma membrane , where Raf becomes activated .",1
Sema3A signaling involves phosphorylation of plexin-As by nonreceptor tyrosine kinases Fes and Fps and Fyn .,0
FAK then binds to Grb2 and Grb2 and SOS complex activates Ras-Raf-MEK-ERK cascade .,0
UHRF1 expression blocked K120 acetylation of p53 by Tip60 whereas its depletion significantly increased K120 acetylation and p53 dependent apoptosis .,0
This observation strongly suggested that calmodulin inhibited Shoc2 mediated binding of Ras to Raf1 and that Ca 2+  suppressed this calmodulin inhibition of Ras binding to Raf1 .,1
"Akt can directly phosphorylate and activate mTOR , as well as indirectly activating it by phosphorylating and inactivate tuberous sclerosis complex 2 ( TSC2 ) , also called tuberin , which normally inhibits mTOR through the GTP binding protein Ras homolog enriched in brain ( Rheb ) .",0
"The FTS induced Ras inhibition also inhibits c-jun phosphorylation , thus dispersing the c-jun and JDP2 heterodimer and allowing galectin-7 transcription .",0
"Taken together , the above results indicate that RbAp46 forms a complex with HDAC1 and Sp1 , which binds to the Sp1 binding site in the RECK promoter to suppress RECK expression in the cell .",1
"Furthermore , given the similarity of the value of the K D  of the oxidant for the wt Ras and Cdc25 complex and that of the  app K I  of the oxidant for the ternary complex , the perturbation of the wt Ras Cdc25 binding interaction is likely the main factor that determines the oxidant mediated inhibition of the catalytic action of Cdc25 on wt Ras .",0
"PDK1 phosphorylates and recruits PKCtheta to the plasma membrane and also recruits the CARMA1- Bcl10 -MALT1 complex , bringing it proximal to the PKCtheta bound IkappaB kinase ( IKK ) complex , which consists of two kinases IKKalpha and beta and a scaffolding protein IKKgamma or NEMO .",0
"( Left ) inflammatory stimulation triggers p300 and CBP acetylation of PARP-1 , enhancing the interaction between p50 and PARP-1 as well as the p50-p300 interaction ; this ultimately leads to activation of NF-kappaB .",1
"( B ) The RMSDs of H-Ras A59G MD conformers with respect to the GTP bound H-Ras A59G crystal structure ( PDB 1LF0 , black ) and the GDP bound H-Ras A59G crystal structure ( PDB 1LF5 , gray ) .",0
"demonstrated that hexokinase II ( HKII ) , the mitochondria located enzyme responsible for the first step of glycolysis , binds to and inhibits mTORC1 , and that this interaction is enhanced by glucose deprivation , namely by a decrease in glucose-6-phosphate levels .",0
"CR increased AKT2 Ser473 phosphorylation greater than that of ad libitum levels found in insulin stimulated WT mice , and AKT1 phosphorylation was insufficient for insulin stimulated glucose uptake in AKT2 deficient muscles .",0
"For example , EZH2 interacts with and methylates STAT3 , resulting in increased tyrosine phosphorylation and activation of STAT3 .",1
"These epistasis results fit well with the observed protein interactions of the mammalian scaffolds : Mammalian KSR binds constitutively to MEK and variably to Raf and ERK , while CNK binds Raf , and SOC-2 binds to Ras and Raf .",0
"In addition , PI3K interacts with Ras and is directly activated by Ras binding to p110 [  -  ] .",0
"Although the SMRT corepressor returns to the chromatin bound NF and kappaB complex almost immediately after the active p50-RelA and p65 heterodimer binds to the promoter , IKKalpha remains associated with the chromatin and phosphorylates both p65 at Ser536 and SMRT at Ser2410 to prevent the recruitment and chromatin association of HDAC3 at the NF-kappaB-regulated promoter .",0
"TSC2 phosphorylation by Akt represses GAP activity of the TSC1 and TSC2 complex , allowing Rheb to accumulate in a GTP bound state .",0
"CREB is also a target of Akt and , as mentioned above , Tax can activate the PI3K and Akt pathway both by interacting with PI3K or down regulating the expression of PTEN ; it is also interesting to point out that PI3K is a downstream effector of Ras .",0
"We and another group reported that GSK3 interacts with and phosphorylates Mcl-1 at S155 , S159 , and T163 ( Maurer et al. ,     ; Ding et al. ,     ) .",1
"Recently Ras mediated Raf-1 activation has been shown to be dependent on calcium and calmodulin-dependent protein kinase II ( CaMK-II ) which phosphorylates Raf-1 at S338 in some experimental stimulation conditions [ EGF , fetal bovine serum ( FBS ) treatment ] .",2
"Under normal conditions , Beclin1 binds to Bcl-2 to form the Bcl-2 / Beclin 1 complex ; however , this complex dissociates , causing increase autophagy levels , such as when Bcl-2 was activated by an upstream pathway , such as Bcl-2 phosphorylation by c-Jun N-terminal kinase 1 activation .",0
"More recently , it has been shown that in a subset of glioblastomas the EGFR driven activation of STAT3 requires : a. the phosphorylation of EGFRvIII by EFGR , b. the nuclear entrance of EGFRvIII , and b. the formation of an EGFRvIII and STAT3 complex in the nucleus .",2
"Doxorubicin treatment of cells stimulates nuclear accumulation and phosphorylation of p53 , a process that is mediated by ATM .",0
"When stable ( most often as a result of phosphorylation via ATM kinase ) , p53 acts to up-regulate p21 , which then binds to the cyclinE and CDK2 complex          .",0
"For example , EZH2 interacts with and methylates STAT3 , resulting in increased tyrosine phosphorylation and activation of STAT3 .",1
"Results ( Supporting information , Figure   , left ) showed that p38gamma only phosphorylates WT Hsp90 but not Hsp90 and S595A mutant even though two proteins are expressed at a similar level , indicating that p38gamma phosphorylates Hsp90 at S595 .",0
"These epistasis results fit well with the observed protein interactions of the mammalian scaffolds : Mammalian KSR binds constitutively to MEK and variably to Raf and ERK , while CNK binds Raf , and SOC-2 binds to Ras and Raf .",0
The combination of everolimus with the PI3K inhibitor PI-103 abolished mTOR inhibitor induced Akt phosphorylation and significantly increased the anti-proliferative effect of everolimus in OC cells    .,0
"IKK complexes phosphorylate an inhibitor of kappaB ( IkappaB ) protein , which binds NF-kappaB dimers and retains them in the cytoplasm .",0
"MEK and ERK induced phosphorylation and activation of the JUN and AP1 transcription factor is the critical event at the terminal end of the EGFR cascade , inducing binding of activated JUN and GLI to common HH-EGFR target promoters , thereby cooperatively regulating target gene expression and transformation        .",1
"Of great interest , we showed that PFD inhibits p38gamma phosphorylation of Hsp90            , decreases MT K-Ras protein expression ( Supporting information ,           ) , and selectively suppresses the K-Ras dependent growth in cell culture              .",0
